Z,N,BE
18,21,333.941322
15,30,335.88
15,31,336.582
17,23,337.1106
16,25,337.415035
15,32,337.93
19,21,341.5236
20,20,342.05212
21,20,343.137118
18,22,343.81036
16,26,344.115534
17,24,344.931319
16,27,346.744561
22,20,346.888374
23,20,346.989016
27,20,347.847
28,20,348.72
25,20,348.885
24,20,349.712
18,23,349.909252
26,20,350.014
20,21,350.414946
17,25,350.527212
19,22,351.618952
16,28,351.82466
16,29,354.681315
21,21,354.687186
17,26,357.926238
16,30,358.432
19,23,359.152752
22,21,359.176076
18,24,359.335746
16,31,359.456
23,21,361.260372
16,33,361.865
20,22,361.895646
16,32,362.16
17,27,362.222608
24,21,363.94776
25,21,364.274
27,21,364.8
18,25,364.994191
28,21,365.393
26,21,365.895
21,22,366.825475
17,28,368.17191
19,24,368.77746
20,23,369.828509
17,29,371.84008
18,26,373.72896
22,22,375.47488
17,30,375.812
19,25,376.054844
21,23,376.524676
23,22,377.101305
17,31,378.384
18,27,378.89784
20,24,380.9597
17,32,381.269
24,22,381.975858
25,22,382.359617
17,33,382.55
17,34,384.03
27,22,384.258
19,26,384.96033
22,23,385.00749
26,22,385.104
28,22,385.8
18,28,386.971274
21,24,387.851895
20,25,388.374525
23,23,390.36198
18,29,390.635988
19,27,391.829932
24,23,395.138165
18,30,395.622336
21,25,396.612552
25,23,397.16088
22,24,398.196746
18,31,398.615
20,26,398.773034
29,23,399.308
26,23,399.904239
27,23,400.05
19,28,400.199313
28,23,401.625
18,32,402.8
23,24,403.364575
18,33,404.226
19,29,404.843136
20,27,406.049403
18,35,406.881
18,34,406.9
22,25,407.077669
21,26,407.25923
19,30,410.241426
24,24,411.468912
25,24,413.556521
23,25,413.906928
19,31,414.4291
21,27,415.497792
20,28,416.000928
26,24,417.7013
27,24,417.855954
29,24,418.382
30,24,418.662
22,26,418.704288
19,32,419.288799
28,24,420.108
20,29,421.147356
19,33,421.981508
24,25,422.051259
19,34,425.210944
23,26,425.462492
21,28,425.626544
19,35,426.006
25,25,426.6348
22,27,426.846693
20,30,427.50815
19,36,428.34
19,37,429.184
31,25,431.144
26,25,431.498709
21,29,431.68395
20,31,432.322563
27,25,432.946072
29,25,434.592
23,27,434.7959
30,25,434.995
24,26,435.0516
28,25,435.504922
22,28,437.7859
20,32,438.327812
21,30,438.436596
25,26,440.322372
20,33,441.520581
21,31,443.7225
22,29,444.158388
24,27,444.312255
20,34,445.364784
23,28,445.847049
20,35,446.6
26,26,447.697848
27,26,449.315874
32,26,450.196
20,36,450.24
21,32,450.257313
31,26,450.813
25,27,450.857108
20,37,451.269
22,30,451.966684
29,26,452.86978
23,29,453.158264
28,26,453.223728
