Z,A,BE
21,42,354.68727
22,42,346.905258
23,42,329.154
24,42,314.244
14,43,309.428
15,43,329.565502
16,43,346.514339
17,43,357.934924
18,43,364.994191
19,43,368.795305
20,43,369.828337
21,43,366.825303
22,43,359.176119
23,43,347.096
24,43,330.412
14,44,311.344
15,44,331.32
16,44,351.736572
17,44,362.069092
18,44,373.728784
19,44,376.08296
20,44,380.95948
21,44,376.524764
22,44,375.474792
23,44,361.260372
24,44,349.844
25,44,329.164
15,45,333.585
16,45,353.944395
17,45,368.272035
18,45,378.897615
19,45,384.95286
20,45,388.3743
21,45,387.8478
22,45,385.003395
23,45,377.094915
24,45,363.398175
25,45,348.75
26,45,329.31
15,46,334.052
16,46,358.064
17,46,372.688964
18,46,386.918466
19,46,391.834302
20,46,398.76871
21,46,396.608412
22,46,398.192376
23,46,390.359634
24,46,381.97802
25,46,364.09
26,46,350.198
16,47,358.845
17,47,376.564
18,47,391.177522
19,47,400.183568
20,47,406.045079
21,47,407.254765
22,47,407.072687
23,47,403.359969
24,47,395.133982
25,47,382.063
26,47,365.613
27,47,347.518
16,48,361.728
17,48,378.816
18,48,397.056
19,48,404.682576
20,48,415.990416
21,48,415.490064
22,48,418.699344
23,48,413.904624
24,48,411.46608
25,48,397.188
26,48,385.248
27,48,364.656
28,48,347.136
16,49,360.983
17,49,381.906
18,49,399.546
19,49,410.949231
20,49,421.13687
21,49,425.617626
22,49,426.841695
23,49,425.457494
24,49,422.048711
25,49,413.551474
26,49,399.742
27,49,383.964
28,49,364.609
17,50,382.95
18,50,404
19,50,414.0534
20,50,427.48975
21,50,431.67345
22,50,437.7809
23,50,434.79345
24,50,435.04905
25,50,426.634
26,50,417.7004
27,50,399.65
28,50,385.45
17,51,384.846
18,51,405.348
19,51,418.761
20,51,431.853516
21,51,438.42609
22,51,444.15339
23,51,445.844601
24,51,444.309654
25,51,440.319873
26,51,431.518497
27,51,417.792
28,51,401.166
18,52,408.616
19,52,421.044
20,52,436.57068
21,52,443.635764
22,52,451.961692
23,52,453.15582
24,52,456.349088
25,52,450.855288
26,52,447.699096
27,52,432.484
28,52,420.472
29,52,399.672
18,53,409.107
19,53,424.901
