Z,N,BE
21,21,354.68727
22,20,346.905258
23,19,329.154
24,18,314.244
14,29,309.428
15,28,329.565502
16,27,346.514339
17,26,357.934924
18,25,364.994191
19,24,368.795305
20,23,369.828337
21,22,366.825303
22,21,359.176119
23,20,347.096
24,19,330.412
14,30,311.344
15,29,331.32
16,28,351.736572
17,27,362.069092
18,26,373.728784
19,25,376.08296
20,24,380.95948
21,23,376.524764
22,22,375.474792
23,21,361.260372
24,20,349.844
25,19,329.164
15,30,333.585
16,29,353.944395
17,28,368.272035
18,27,378.897615
19,26,384.95286
20,25,388.3743
21,24,387.8478
22,23,385.003395
23,22,377.094915
24,21,363.398175
25,20,348.75
26,19,329.31
15,31,334.052
16,30,358.064
17,29,372.688964
18,28,386.918466
19,27,391.834302
20,26,398.76871
21,25,396.608412
22,24,398.192376
23,23,390.359634
24,22,381.97802
25,21,364.09
26,20,350.198
16,31,358.845
17,30,376.564
18,29,391.177522
19,28,400.183568
20,27,406.045079
21,26,407.254765
22,25,407.072687
23,24,403.359969
24,23,395.133982
25,22,382.063
26,21,365.613
27,20,347.518
16,32,361.728
17,31,378.816
18,30,397.056
19,29,404.682576
20,28,415.990416
21,27,415.490064
22,26,418.699344
23,25,413.904624
24,24,411.46608
25,23,397.188
26,22,385.248
27,21,364.656
28,20,347.136
16,33,360.983
17,32,381.906
18,31,399.546
19,30,410.949231
20,29,421.13687
21,28,425.617626
22,27,426.841695
23,26,425.457494
24,25,422.048711
25,24,413.551474
26,23,399.742
27,22,383.964
28,21,364.609
17,33,382.95
18,32,404
19,31,414.0534
20,30,427.48975
21,29,431.67345
22,28,437.7809
23,27,434.79345
24,26,435.04905
25,25,426.634
26,24,417.7004
27,23,399.65
28,22,385.45
17,34,384.846
18,33,405.348
19,32,418.761
20,31,431.853516
21,30,438.42609
22,29,444.15339
23,28,445.844601
24,27,444.309654
25,26,440.319873
26,25,431.518497
27,24,417.792
28,23,401.166
18,34,408.616
19,33,421.044
20,32,436.57068
21,31,443.635764
22,30,451.961692
23,29,453.15582
24,28,456.349088
25,27,450.855288
26,26,447.699096
27,25,432.484
28,24,420.472
29,23,399.672
18,35,409.107
19,34,424.901
20,33,440.006
21,32,448.963
22,31,457.396996
23,30,461.634664
24,29,464.288215
25,28,462.909049
26,27,458.384121
27,26,449.301246
28,25,435.236
29,24,418.541
19,35,426.384
20,34,444.096
21,33,453.640662
22,32,464.233896
23,31,467.748108
24,30,474.007356
25,29,471.847842
26,28,471.762576
27,27,462.737286
28,26,453.156174
29,25,434.862
30,24,418.932
19,36,429.33
20,35,446.38
21,34,457.07376
22,33,468.381155
23,32,475.079935
24,31,480.25362
25,30,482.07434
26,29,481.0608
27,28,476.826625
28,27,467.352325
29,26,452.87
30,25,435.38
20,36,449.792
21,35,460.824
22,34,473.718896
23,33,480.07988
24,32,488.498696
25,31,489.3448
26,30,492.258088
27,29,486.909752
28,28,483.991704
29,27,467.88
30,26,454.272
31,25,432.488
20,37,451.554
21,36,464.322
22,35,476.397336
23,34,486.259818
24,33,493.812888
25,32,497.993211
26,31,499.904193
27,30,498.285906
28,29,494.241357
29,28,484.686618
30,27,469.395
31,26,451.725
21,37,466.9
22,36,481.69
23,35,490.35114
24,34,501.19482
25,33,504.48458
26,32,509.948818
27,31,506.858926
28,30,506.458378
29,29,497.110402
30,28,486.963708
31,27,467.886
32,26,451.472
21,38,469.817
22,37,484.213
23,36,495.280279
24,35,505.322905
25,34,512.128614
26,33,516.529837
27,32,517.312767
28,31,515.45763
29,30,509.876879
30,29,499.997801
31,28,486.101
32,27,468.165
21,39,471.84
22,38,488.7
23,37,498.86232
24,36,512.00658
25,35,517.89822
26,34,525.34986
27,33,524.8047
28,32,526.84542
29,31,519.9351
30,30,514.99638
31,29,500.04
32,28,487.02
33,27,464.88
22,39,490.806
23,38,503.738
24,37,515.754695
25,36,524.347399
26,35,530.930702
27,34,534.125394
28,33,534.665549
29,32,531.645927
30,31,525.225433
31,30,515.188066
32,29,501.054
33,28,484.584
22,40,494.884
23,39,506.85
24,38,522.059902
25,37,528.901788
26,36,538.981376
27,35,540.729776
28,34,545.262038
29,33,540.531438
30,32,538.122676
31,31,528.16932
32,30,517.638
33,29,499.596
22,41,496.503
23,40,511.434
24,39,525.231
25,38,535.285485
26,37,543.697812
27,36,549.209997
28,35,552.099807
29,34,551.384442
30,33,547.235577
31,32,540.787338
32,31,530.397
33,30,516.474
23,41,513.984
24,40,530.944
25,39,539.622336
26,38,550.99392
27,37,555.2336
28,36,561.757888
29,35,559.30048
30,34,559.097472
31,33,551.145856
32,32,545.879104
33,31,530.24
23,42,517.92
24,41,533.65
25,40,545.74962
26,39,555.17254
27,38,562.682185
28,37,567.85599
29,36,569.21124
30,35,567.076835
31,34,563.04001
32,33,556.015135
33,32,545.805
34,31,530.985
24,42,538.758
25,41,549.384
26,40,561.939444
27,39,567.694908
28,38,576.807528
29,37,576.277152
30,36,578.135976
31,35,572.178618
32,34,569.296266
33,33,558.391812
34,32,547.8
24,43,541.025
25,42,554.626
26,41,566.129565
27,40,574.71595
28,39,582.61525
29,38,585.408949
30,37,585.188318
31,36,583.40518
32,35,578.40095
33,34,571.608624
34,33,560.656
35,32,546.184
25,43,557.872
26,42,571.636696
27,41,579.076644
28,40,590.407688
29,39,591.72852
30,38,595.386376
31,37,591.68296
32,36,590.794268
33,35,581.931352
34,34,576.46456
35,33,560.116
25,44,562.695
26,43,574.977
27,42,585.800133
28,41,594.993831
29,40,599.969007
30,39,601.868439
31,38,601.995882
32,37,598.986378
33,36,594.190119
34,35,586.622613
35,34,576.012
36,33,561.177
26,44,580.58
27,43,589.51207
28,42,602.23639
29,41,605.28027
30,40,611.08642
31,39,609.64953
32,38,610.52019
33,37,603.51788
34,36,600.43865
35,35,589.05
36,34,578.48
26,45,583.691
27,44,595.81354
28,43,606.361584
29,42,613.086562
30,41,616.919994
31,40,618.95102
32,39,617.936146
33,38,615.140379
34,37,609.580085
35,36,602.744702
36,35,591.822346
37,34,576.449
26,46,589.104
27,45,599.328
28,44,613.169424
29,43,618.2298
30,42,625.795848
31,41,625.471488
32,40,628.68564
33,39,623.547216
34,38,622.429488
35,37,612.76788
36,36,606.911256
37,35,590.328
27,46,605.097
28,45,617.142
29,44,625.504661
30,43,631.146101
31,42,634.652729
32,41,635.468577
33,40,634.345399
34,39,630.824025
35,38,625.452977
36,37,617.593432
37,36,606.338
38,35,591.154
27,47,608.428
28,46,623.746
29,45,630.595588
30,44,639.515918
31,43,641.074284
32,42,645.6648
33,41,642.32
34,40,642.890392
35,39,635.201422
36,38,631.444516
37,37,620.247724
38,36,608.28
27,48,613.725
28,47,627.375
29,46,636.780525
30,45,644.347425
31,44,649.5606
32,43,652.17015
33,42,652.56375
34,41,650.918025
35,40,647.1057
36,39,641.507925
37,38,633.623625
38,37,622.241325
28,48,633.156
29,47,641.708052
30,46,652.086308
31,45,655.463976
32,44,661.598088
33,43,659.892192
34,42,662.072328
35,41,656.327108
36,40,654.26994
37,39,644.9531
38,38,637.934804
39,37,621.604
28,49,636.328
29,48,647.416
30,47,656.743395
31,46,663.23103
32,45,667.670388
33,44,669.590537
34,43,669.491207
35,42,667.344216
36,41,663.496372
37,40,657.369097
38,39,649.566302
39,38,637.868
28,50,641.94
29,49,651.612
30,48,663.434928
31,47,669.01653
32,46,676.38987
33,45,676.562718
34,44,679.989024
35,43,675.63288
36,42,675.577968
37,41,667.552158
38,40,663.007488
39,39,651.612
40,38,639.99
29,50,657.28
30,49,667.55
31,48,675.89082
32,47,682.087501
33,46,685.453138
34,45,686.951847
35,44,686.3204
36,43,683.912322
37,42,679.490613
38,41,673.381464
39,40,665.479094
40,39,653.725
29,51,659.44
30,50,674.07976
31,49,680.58776
32,48,690.18544
33,47,692.0472
34,46,696.86552
35,45,694.21272
36,44,695.43336
37,43,688.93136
38,42,686.2844
39,41,676.4116
40,40,669.92856
30,51,676.431
31,50,687.507264
32,49,695.044881
33,48,700.492536
34,47,703.566405
35,46,704.369358
36,45,703.306233
37,44,700.28469
38,43,695.575188
39,42,689.282541
40,41,680.971293
41,40,669.141
30,52,680.846
31,51,690.686
32,50,702.436928
33,49,706.35456
34,48,712.842236
35,47,711.962376
36,46,714.273054
37,45,709.089342
38,44,708.127236
39,43,699.52888
40,42,694.786
41,41,682.732
30,53,682.758
31,52,695.042
32,51,705.749
33,50,713.982517
34,49,718.660231
35,48,721.546141
36,47,721.736543
37,46,720.047327
38,45,716.985623
39,44,711.734379
40,43,705.084004
41,42,696.801683
42,41,684.833
31,53,697.872
32,52,711.228
33,51,718.284
34,50,727.342644
35,49,728.407848
36,48,732.257148
37,47,728.793828
38,46,728.905296
39,45,721.636944
40,44,718.2
41,43,707.784
42,42,700.896
31,54,701.845
32,53,714.085
33,52,723.605
34,51,731.89046
35,50,737.290085
36,49,739.37777
37,48,739.282485
38,47,737.43535
39,46,733.39258
40,45,727.91722
41,44,721.1349
42,43,712.3
43,42,700.06
31,55,704.254
32,54,718.96
33,53,727.474
34,52,738.074016
