Z,A,BE
0,1,0
1,1,0
4,5,0.09
1,2,2.224566
3,4,4.61504
1,6,5.769834
1,7,6.58
1,5,6.681795
1,4,6.881796
2,3,7.71804
1,3,8.481795
6,8,24.812192
5,7,24.910935
3,5,26.33066
4,6,26.923482
2,5,27.56066
2,4,28.29566
2,7,28.861399
2,6,29.271114
2,10,29.95134
2,9,30.141333
2,8,31.39616
3,6,31.993986
7,10,36.43672
4,7,37.600836
5,8,37.73724
6,9,39.036807
3,7,39.245073
3,8,41.277696
3,10,45.31351
3,9,45.339912
3,12,45.4992
3,13,45.59919
3,11,45.709191
5,9,56.31363
4,8,56.49948
4,9,58.164012
8,12,58.682424
7,11,59.004506
6,10,60.32042
5,10,64.75083
4,10,64.9763
4,11,65.47794
4,15,68.11455
4,13,68.138655
4,16,68.56456
4,12,68.648664
4,14,69.914558
10,15,73.03092
6,11,73.441016
9,14,73.992912
7,12,74.041308
8,13,75.552919
5,11,76.205052
5,12,79.574676
5,13,84.453447
5,14,85.423016
5,16,88.116832
5,15,88.199775
5,21,88.263
5,20,89.06
5,18,89.57934
5,17,89.584339
5,19,89.673046
6,12,92.161728
11,17,93.43336
7,13,94.105219
6,13,97.108037
10,16,97.330832
9,15,97.461885
8,14,98.731892
7,14,104.658596
6,14,105.284466
6,15,106.502535
6,16,110.752864
9,16,111.419696
6,17,111.486408
11,18,111.639906
8,15,111.95538
12,19,112.138475
10,17,112.888483
7,15,115.4919
6,18,115.670358
6,19,116.247187
6,23,116.771
7,16,117.980736
6,21,119.154
6,20,119.2287
6,22,119.263694
7,17,123.865893
7,18,126.694116
8,16,127.619296
9,17,128.219576
8,17,131.762376
11,19,131.819815
7,19,132.022317
10,18,132.142626
13,21,132.342
14,22,133.276
7,20,134.18342
12,20,134.5605
9,18,137.369484
7,21,138.789315
8,18,139.807746
7,25,140.325
7,22,140.327748
7,24,141.288
7,23,143.443433
8,19,143.763405
10,19,143.779517
11,20,145.96992
9,19,147.801342
15,24,148.656
13,22,149.204
12,21,149.205651
14,23,150.995
8,20,151.3714
9,20,154.40268
8,21,155.176854
10,20,160.6448
8,22,162.027162
9,21,162.504153
11,21,163.076487
8,23,164.760155
8,27,166.995
10,21,167.405973
8,28,167.664
9,22,167.73449
8,25,168.195125
12,22,168.580742
13,23,168.721721
8,26,168.934428
8,24,168.95244
16,26,170.248
15,25,170.3
14,24,172.013568
11,22,174.144674
9,23,175.313912
10,22,177.77023
9,24,179.125968
12,23,181.725645
